Year 450
a 	P	A	B	E	M	C	M	T	T	L	C	I	S	K	R	S	S	S	C	M	D	P	T	A	A	A	S	P	H	C	M	E	K	M	K	S	P	
Rhodes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Sicily	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Sparta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.767456922477588E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.767456922477588E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011534913844955177	0.0	0.0	0.0	0.0	0.0	0.0	18.900000281631947	-1.0000000149011612	0.2000000029802322	
Sphakteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Corinth	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2500000037252903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Megara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Delium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Plataea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2500000037252903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2500000037252903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2500000037252903	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Thebes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000149011612	0.0	0.2000000029802322	
Athens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0695549626593726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0695549626593726	0.0	0.2500000037252903	0.0	0.0	0.0	0.0	0.0	0.0	0.1391099253187452	0.0	0.0	0.0	0.0	0.0	0.0	337.10000502318144	1.0000000149011612	0.2000000029802322	
